school_id,year,success,ela_success,math_success
490035,2007,4.716,5.532,3.901
490035,2008,4.907,5.741,4.074
490035,2009,5.069,5.694,4.444
490035,2010,5.471,6.304,4.638
490035,2011,5.957,6.95,4.965
490035,2012,4.567,5.067,4.067
490035,2004,2.941,,2.941
490040,2002,4.01,,4.01
490040,2003,4.57,,4.57
490040,2005,3.763,,3.763
490040,2007,5.672,5.914,5.43
490040,2008,6.164,6.614,5.714
490040,2009,4.945,6.284,3.607
490040,2010,5.644,6.212,5.076
490040,2011,5.17,5.918,4.422
490040,2012,4.872,5.47,4.274
490040,2004,3.636,,3.636
490045,2002,3.492,,3.492
490045,2003,4.394,,4.394
490045,2005,1.628,,1.628
490045,2007,3.333,4.667,2.0
490045,2008,4.731,5.699,3.763
490045,2009,5.0,6.0,4.0
490045,2010,5.632,6.552,4.713
490045,2011,5.159,6.508,3.81
490045,2012,5.96,6.162,5.758
490045,2004,2.857,,2.857
490050,2002,5.75,,5.75
490050,2003,4.786,,4.786
490050,2005,3.148,,3.148
490050,2007,4.655,6.322,2.989
490050,2008,4.792,6.667,2.917
490050,2009,5.729,7.292,4.167
490050,2010,5.528,7.111,3.944
490050,2011,6.311,6.776,5.847
490050,2012,6.692,7.385,6.0
490050,2004,3.388,,3.388
490065,2002,3.611,,3.611
490065,2003,1.939,,1.939
490065,2005,3.407,,3.407
490065,2007,3.684,4.561,2.807
490065,2008,5.333,5.333,5.333
490065,2009,5.467,6.133,4.8
490065,2010,4.872,4.744,5.0
490065,2011,4.295,5.256,3.333
490065,2012,4.71,4.493,4.928
490065,2004,4.242,,4.242
490090,2002,0.385,,0.385
490090,2003,0.889,,0.889
490090,2005,2.976,,2.976
490090,2007,3.333,5.556,1.111
490090,2008,4.537,5.741,3.333
490090,2009,4.524,5.714,3.333
490090,2010,5.294,6.471,4.118
490090,2011,4.804,5.882,3.725
490090,2012,3.86,5.263,2.456
490090,2004,1.481,,1.481
500305,2002,4.885,,4.885
500305,2003,5.141,,5.141
500305,2005,5.016,,5.016
500305,2007,6.546,7.22,5.872
500305,2008,6.805,7.22,6.39
500305,2009,6.673,7.431,5.916
500305,2010,6.943,7.327,6.559
500305,2011,6.686,7.165,6.207
500305,2012,6.66,7.229,6.09
500305,2013,6.949,7.507,6.391
500305,2014,6.455,6.59,6.321
500305,2004,4.746,,4.746
510025,2002,7.952,,7.952
510025,2003,7.93,,7.93
510025,2005,8.063,,8.063
510025,2007,7.809,7.303,8.315
510025,2008,7.621,7.573,7.67
510025,2009,8.299,8.351,8.247
510025,2010,7.886,7.846,7.927
510025,2011,8.288,8.402,8.174
510025,2012,9.004,8.862,9.146
510025,2013,8.505,8.488,8.522
510025,2004,7.833,,7.833
560305,2002,5.099,,5.099
560305,2003,5.224,,5.224
560305,2005,5.348,,5.348
560305,2007,6.611,7.204,6.019
560305,2008,6.993,7.268,6.718
560305,2009,7.144,7.734,6.554
560305,2010,7.067,7.695,6.438
560305,2011,6.817,7.533,6.1
560305,2012,7.333,7.754,6.912
560305,2013,7.343,7.741,6.944
560305,2014,7.168,7.237,7.098
560305,2004,5.145,,5.145
610021,2002,2.549,,2.549
610021,2007,1.613,2.473,0.753
610021,2008,2.281,3.509,1.053
610021,2009,2.083,3.889,0.278
610021,2010,3.0,5.0,1.0
610021,2011,2.292,3.056,1.528
610021,2012,2.083,3.958,0.208
610021,2013,1.875,3.125,0.625
610021,2014,2.756,3.718,1.795
610021,2003,2.187,,2.187
610021,2005,2.222,,2.222
610021,2006,2.778,3.556,2.0
610021,2004,1.167,,1.167
610305,2002,2.023,,2.023
610305,2003,1.916,,1.916
610305,2005,2.824,,2.824
610305,2007,3.975,4.974,2.976
610305,2008,4.05,4.825,3.275
610305,2009,4.486,5.41,3.562
610305,2010,4.566,5.293,3.84
610305,2011,4.558,5.384,3.733
610305,2012,4.504,5.724,3.283
610305,2013,4.726,5.435,4.017
610305,2014,4.911,5.426,4.396
610305,2004,1.956,,1.956
630010,2002,4.035,,4.035
630010,2003,2.143,,2.143
630010,2005,3.929,,3.929
630010,2007,4.25,6.0,2.5
630010,2008,5.128,5.641,4.615
630010,2009,4.91,5.405,4.414
630010,2010,6.31,6.429,6.19
630010,2011,5.238,5.714,4.762
630010,2012,6.14,6.14,6.14
630010,2013,5.455,5.758,5.152
630010,2014,5.667,6.167,5.167
630010,2004,2.593,,2.593
640305,2002,3.943,,3.943
