NI,5.699,2012,00350262,97.7,94.6,13.4
P,6.375,2013,00350262,93,85.9,12.9
P,6.25,2014,00350262,100,76.5,15.5
P,7.395,2006,00200505,99.3,99.2,13.7
P,7.649,2007,00200505,97.9,98.4,13.0
P,7.917,2008,00200505,97,97.2,13.3
P,7.979,2009,00200505,97.1,97.2,13.2
P,7.447,2010,00200505,99.3,98.3,14.4
P,7.476,2011,00200505,100,98.9,13.5
P,7.523,2012,00200505,98.3,99.1,13.5
P,7.257,2014,00200505,100,100,13.1
P,7.974,2006,01680505,98.6,87.5,14.1
A,8.426,2008,01680505,93.6,81.2,13.1
A,8.856,2009,01680505,90.4,80.9,12.6
A,8.878,2010,01680505,92.4,91.6,13.2
A,9.071,2013,01680505,100,98.3,13.6
A,8.991,2014,01680505,97.9,96,13.2
P,6.781,2006,00440505,81.6,80.9,16.0
P,6.699,2007,00440505,80.5,84.6,15.3
P,7.041,2008,00440505,88.4,80,14.8
P,7.161,2010,00440505,91.8,84.8,14.7
P,7.341,2011,00440505,98.5,91.9,16.0
P,7.765,2012,00440505,99.5,93.4,15.5
P,7.796,2013,00440505,99.8,95.6,16.3
P,7.672,2014,00440505,99.2,95.9,16.1
W,3.05,2009,01370525,89.5,84.1,4.1
W,3.203,2010,01370525,79.3,64.1,4.2
W,2.941,2012,01370525,92.2,92.5,6.0
W,3.0,2013,01370525,92.7,96.3,5.6
NI,4.432,2010,03100315,100,100,9.8
NI,5.192,2011,03100315,97.1,100,11.6
NI,5.417,2012,03100315,100,87.9,9.5
NI,5.0,2013,03100315,82.1,100,15.4
P,7.88,2006,02490005,100,100,9.9
P,7.143,2007,02490005,95.9,100,10.5
P,7.875,2008,02490005,100,100,11.0
P,7.566,2009,02490005,100,100,10.5
P,7.443,2010,02490005,96.7,100,9.2
P,7.656,2011,02490005,100,100,8.3
P,7.216,2012,02490005,100,100,9.1
P,7.5,2013,02490005,83,86.7,8.9
NI,5.076,2007,00350445,92.1,90.8,13.7
NI,5.344,2008,00350445,98.1,91,13.1
NI,5.054,2009,00350445,100,92.6,12.6
NI,5.417,2010,00350445,100,95.7,12.6
NI,4.905,2011,00350445,100,97,13.2
NI,4.87,2012,00350445,95.7,94.6,10.8
NI,4.811,2013,00350445,95.6,96.1,10.6
NI,5.482,2014,00350445,100,67.8,12.5
P,7.872,2006,00240505,100,100,17.4
A,8.368,2007,00240505,100,100,17.4
A,8.128,2008,00240505,97.7,97,17.7
A,8.488,2010,00240505,100,100,16.4
A,8.557,2011,00240505,100,99.2,17.0
A,8.776,2012,00240505,100,100,15.1
P,6.947,2006,03040505,89.4,92.1,11.1
P,7.489,2007,03040505,100,100,10.6
P,7.457,2008,03040505,97.8,100,10.2
P,7.977,2009,03040505,97.7,100,10.7
P,7.586,2010,03040505,100,100,12.4
A,8.198,2011,03040505,100,100,12.6
P,7.904,2012,03040505,100,100,12.3
P,8.02,2013,03040505,100,99.4,12.6
A,8.405,2014,03040505,100,100,15.8
P,7.683,2008,02070315,97.3,94.7,11.8
P,7.812,2009,02070315,94,93.6,12.1
P,7.934,2010,02070315,96.7,93.6,12.0
A,8.286,2012,02070315,98.3,96,13.3
A,8.178,2013,02070315,98.6,100,12.3
P,7.935,2014,02070315,99,95,11.8
P,6.352,2006,03460305,93.6,92.1,14.2
P,6.769,2007,03460305,96.2,93.4,14.6
P,6.383,2008,03460305,100,97.3,13.2
P,6.398,2010,03460305,88.7,81.9,13.5
P,6.824,2011,03460305,85.1,89.4,12.2
P,7.171,2012,03460305,100,95.5,12.0
P,6.928,2013,03460305,97.1,96.1,12.8
P,6.544,2014,03460305,97.3,95.3,13.5
P,7.505,2007,01310410,98.5,98.2,13.3
P,7.282,2008,01310410,97,100,13.4
P,7.641,2009,01310410,100,100,13.5
P,8.055,2011,01310410,100,100,15.5
P,7.673,2014,01310410,100,100,14.5
A,8.606,2006,03210505,96.6,97.5,13.9
A,8.985,2007,03210505,100,100,12.9
A,8.868,2008,03210505,98.8,100,12.9
A,8.966,2010,03210505,100,100,13.3
A,9.235,2013,03210505,100,100,13.6
P,7.405,2006,02070320,97.2,96.7,10.5
P,7.859,2008,02070320,100,90.7,10.6
P,7.948,2009,02070320,97.9,95.8,11.2
A,8.25,2010,02070320,98,92.5,11.2
P,8.033,2012,02070320,100,96.3,11.7
A,8.382,2013,02070320,100,100,11.1
A,8.164,2014,02070320,98.3,98.3,10.8
