school id,year,percent attending college/univ,percent attending prive two year,percent attending private four year,percent attending public two year,percent attending public four year
2460505,2004,56.7,0.6,41.7,17.9,39.7
2480505,2004,54.9,1.5,36.3,23.0,39.3
2480520,2004,12.5,0.0,50.0,50.0,0.0
2510505,2004,53.8,0.0,20.9,36.3,42.9
2520510,2004,57.9,3.0,36.4,30.3,30.3
2580505,2004,51.6,0.8,19.7,40.2,39.4
2610505,2004,61.0,0.0,25.0,38.8,36.2
2620505,2004,62.5,0.0,17.4,41.7,40.9
2640505,2004,40.5,0.0,37.1,25.8,37.1
2650505,2004,33.1,0.0,9.3,31.5,59.3
2660505,2004,39.4,0.0,40.6,17.0,42.5
2710505,2004,49.1,0.0,34.3,31.3,34.3
2740505,2004,45.0,3.0,38.9,34.1,24.0
2780505,2004,63.8,0.0,20.6,57.7,21.6
2810500,2004,51.0,0.0,9.8,62.3,27.9
2810510,2004,59.0,0.0,12.0,70.7,17.4
4060705,2004,23.3,0.0,0.0,90.0,10.0
4120530,2004,52.2,0.0,66.7,16.7,16.7
4240505,2004,10.3,0.0,33.3,66.7,0.0
4410505,2004,61.5,0.0,25.0,50.0,25.0
4490305,2004,61.1,0.0,18.2,9.1,72.7
4580505,2004,38.7,0.0,0.0,91.7,8.3
4680505,2004,51.0,0.0,84.6,0.0,15.4
4690505,2004,40.0,0.0,62.5,12.5,25.0
4780505,2004,57.9,0.0,54.5,9.1,36.4
4790505,2004,52.9,0.0,16.7,50.0,33.3
4870550,2004,53.3,0.0,75.0,12.5,12.5
6000505,2004,37.8,0.0,43.6,19.5,36.9
6030505,2004,55.3,0.0,19.0,39.7,41.3
6050505,2004,43.4,0.0,25.4,32.1,42.5
6100505,2004,63.7,0.0,20.6,36.4,43.0
6150505,2004,60.0,0.0,11.6,52.2,36.2
6180505,2004,40.9,0.0,23.0,50.8,26.2
6200505,2004,58.6,0.0,26.8,29.3,43.9
6250505,2004,57.4,0.5,15.3,29.1,55.0
6350505,2004,51.4,0.0,11.8,75.3,12.9
6400505,2004,32.6,0.0,66.7,12.6,20.7
6450505,2004,45.8,0.0,26.2,44.7,29.1
6500505,2004,45.5,0.0,14.3,39.0,46.7
6550505,2004,31.2,0.0,73.5,2.9,23.5
6580505,2004,52.5,0.0,29.7,29.7,40.6
6600505,2004,42.7,0.0,29.3,43.4,27.3
6650505,2004,61.7,0.0,14.2,37.2,48.7
6700505,2004,59.1,0.0,14.5,52.7,32.7
6720505,2004,49.5,0.0,13.0,56.5,30.4
6730505,2004,49.2,0.0,26.4,31.9,41.8
6740505,2004,49.3,0.0,11.4,51.4,37.1
6750505,2004,42.9,0.0,42.7,20.0,37.3
6800505,2004,54.3,0.0,33.1,40.0,26.9
6830505,2004,58.8,0.0,25.0,41.7,33.3
6900505,2004,45.7,0.8,31.7,20.3,47.2
6950505,2004,35.6,0.0,57.5,13.3,29.2
6980510,2004,41.9,0.0,38.9,33.3,27.8
7050505,2004,44.7,0.0,36.1,27.9,36.1
7100510,2004,50.4,0.0,33.9,21.0,45.2
7150505,2004,34.9,0.0,18.9,54.1,27.0
7170505,2004,46.0,0.0,5.8,69.2,25.0
7200505,2004,60.6,0.0,8.8,49.1,42.1
7250505,2004,42.0,0.0,30.1,32.9,37.0
7300505,2004,45.8,0.0,36.9,13.1,50.0
7350505,2004,62.0,0.0,20.0,36.8,43.2
7400505,2004,54.8,0.0,26.1,27.2,46.7
7450505,2004,57.6,0.0,25.0,49.2,25.8
7500505,2004,56.1,0.0,10.8,48.6,40.5
7530505,2004,50.3,0.0,30.5,27.4,42.1
7550505,2004,61.2,0.0,20.0,55.0,25.0
7600505,2004,51.2,0.0,22.2,34.9,42.9
7650505,2004,35.6,0.0,19.0,52.4,28.6
7670505,2004,64.3,0.0,24.8,30.7,44.6
7780505,2004,43.2,0.0,31.3,34.4,34.4
8010605,2004,32.5,0.0,8.0,60.0,32.0
8050605,2004,23.0,0.0,36.4,36.4,27.3
8060605,2004,34.1,3.3,19.7,55.7,21.3
8100605,2004,35.9,0.0,1.8,83.9,14.3
8150605,2004,24.8,0.0,10.0,83.3,6.7
8180605,2004,28.9,0.0,10.7,82.1,7.1
8210605,2004,36.0,0.0,1.5,88.2,10.3
8230605,2004,38.1,0.0,4.5,85.2,10.2
8250605,2004,30.0,2.0,3.0,75.0,20.0
8280605,2004,30.0,1.0,2.9,82.9,13.3
8290605,2004,20.6,0.0,11.4,80.0,8.6
8300605,2004,45.3,1.6,16.1,53.2,29.0
8320605,2004,36.4,0.0,6.4,78.2,15.4
8510605,2004,24.7,0.0,8.7,30.4,60.9
8520605,2004,29.6,0.0,6.3,68.8,25.0
8530605,2004,28.0,4.3,10.0,60.0,25.7
8550605,2004,27.8,0.0,9.4,78.1,12.5
8600605,2004,24.2,0.0,3.3,90.0,6.7
8710605,2004,36.2,1.0,9.6,62.5,26.9
8720605,2004,20.7,2.1,16.7,72.9,8.3
8730605,2004,33.3,2.6,15.8,63.2,18.4
8760605,2004,20.9,0.0,12.2,75.6,12.2
9100705,2004,46.4,0.0,7.7,61.5,30.8
9150705,2004,44.9,0.0,15.9,59.1,25.0
10505,2004,11.3,7.1,50.0,7.1,35.7
50505,2004,10.7,0.0,60.7,0.0,39.3
70505,2004,24.6,0.0,54.8,4.8,40.5
90505,2004,44.8,0.6,63.7,3.9,31.8
100505,2004,28.7,0.0,73.7,1.3,25.0
140505,2004,29.9,0.0,79.1,2.3,18.6
160505,2004,24.4,0.0,43.5,35.9,20.7
170505,2004,16.3,0.0,75.0,0.0,25.0
180510,2004,15.9,0.0,100.0,0.0,0.0
200505,2004,24.6,0.0,57.0,10.0,33.0
230505,2004,39.2,0.0,67.2,3.4,29.3
240505,2004,18.1,3.8,61.5,0.0,34.6
250505,2004,24.2,0.0,52.2,32.6,15.2
260505,2004,39.6,0.0,67.0,1.0,32.0
300505,2004,25.3,0.0,51.3,7.5,41.3
310505,2004,16.0,0.0,81.4,1.7,16.9
350505,2004,10.3,0.0,90.5,4.8,4.8
350515,2004,5.5,0.0,70.0,10.0,20.0
350522,2004,0.0,0.0,0.0,0.0,0.0
350525,2004,5.9,14.3,28.6,0.0,57.1
350530,2004,2.0,25.0,50.0,0.0,25.0
350535,2004,6.6,21.4,64.3,7.1,7.1
350537,2004,4.3,0.0,58.3,16.7,25.0
350540,2004,6.8,0.0,100.0,0.0,0.0
350541,2004,17.6,0.0,66.7,33.3,0.0
350542,2004,2.6,100.0,0.0,0.0,0.0
350545,2004,15.5,0.0,86.5,0.0,13.5
350546,2004,17.5,0.0,85.7,0.0,14.3
350548,2004,0.7,0.0,0.0,0.0,100.0
350558,2004,2.2,50.0,50.0,0.0,0.0
350560,2004,24.0,0.0,86.9,1.2,11.9
350575,2004,9.7,0.0,76.2,4.8,19.0
350690,2004,9.1,0.0,87.5,0.0,12.5
360505,2004,25.4,0.0,68.6,2.9,28.6
400505,2004,17.1,0.0,69.1,1.8,29.1
