school_id,year,success_raw,success_letter
01490536,2011,5.375,W
01490536,2012,4.95,W
01490536,2013,4.271,NI
01490536,2014,5.625,W
01220505,2006,7.782,P
01220505,2007,8.174,A
01220505,2008,7.995,P
01220505,2009,8.294,A
01220505,2010,8.368,A
01220505,2011,8.399,A
01220505,2012,8.566,A
01220505,2013,8.966,A
01220505,2014,8.582,A
02740075,2006,6.047,W
02740075,2007,5.714,W
02740075,2008,5.938,W
02740075,2009,4.932,W
02740075,2010,5.284,W
02740075,2011,5.579,W
02740075,2012,5.767,W
02740075,2013,6.144,W
02740075,2014,6.532,P
02810360,2012,3.3,NI
02810360,2013,3.992,NI
02810360,2014,4.062,NI
07670505,2006,6.695,P
07670505,2007,6.986,P
07670505,2008,7.381,P
07670505,2009,7.5,P
07670505,2010,7.512,P
07670505,2011,7.477,P
07670505,2012,7.757,P
07670505,2013,7.998,P
07670505,2014,8.005,P
03150305,2006,7.857,P
03150305,2007,8.205,A
03150305,2008,8.205,A
03150305,2009,8.202,A
03150305,2010,8.317,A
03150305,2011,7.93,P
03150305,2012,8.573,A
03150305,2013,8.609,A
03150305,2014,8.258,A
00350074,2007,4.526,W
00350074,2008,4.443,W
00350074,2009,4.29,NI
00350074,2010,4.594,W
00350074,2011,4.861,W
00350074,2012,4.403,W
00350074,2013,4.702,W
00350074,2014,5.132,W
04960305,2008,6.458,P
04960305,2009,6.853,P
04960305,2010,6.868,P
04960305,2011,6.865,P
04960305,2012,7.184,P
04960305,2013,6.712,P
04960305,2014,6.765,P
02810570,2012,5.556,W
02810570,2013,4.732,W
03070305,2006,7.405,P
03070305,2007,6.941,P
03070305,2008,7.526,P
03070305,2009,7.638,P
03070305,2010,7.644,P
03070305,2011,7.823,P
03070305,2012,7.524,P
03070305,2013,7.561,P
03070305,2014,7.384,P
01530515,2014,6.071,W
07730505,2006,7.347,P
07730505,2007,7.627,P
07730505,2008,8.041,P
07730505,2009,7.756,P
07730505,2010,8.197,A
07730505,2011,8.555,A
07730505,2012,8.464,A
07730505,2013,8.69,A
07730505,2014,8.815,A
02840405,2006,6.716,P
02840405,2007,7.066,P
02840405,2008,6.891,P
02840405,2009,6.584,P
02840405,2010,7.219,P
02840405,2011,7.602,P
02840405,2012,7.184,P
02840405,2013,8.154,A
02840405,2014,7.826,P
00490040,2007,6.754,P
00490040,2008,7.123,P
00490040,2009,6.209,W
00490040,2010,6.733,P
00490040,2011,6.378,P
00490040,2012,6.154,W
03220505,2006,7.268,P
03220505,2007,7.876,P
03220505,2008,7.597,P
03220505,2009,7.365,P
03220505,2010,8.046,P
03220505,2011,7.568,P
03220505,2012,7.84,P
03220505,2013,7.569,P
03220505,2014,7.5,P
07700505,2006,7.366,P
07700505,2007,7.886,P
07700505,2008,7.956,P
07700505,2009,8.139,A
07700505,2010,7.941,P
07700505,2011,8.184,A
07700505,2012,8.352,A
07700505,2013,8.757,A
07700505,2014,8.73,A
03360505,2006,7.05,P
03360505,2007,7.363,P
03360505,2008,7.473,P
03360505,2009,7.792,P
03360505,2010,7.869,P
03360505,2011,8.004,P
03360505,2012,8.067,P
03360505,2013,8.009,P
03360505,2014,8.163,A
04710405,2006,4.798,W
04710405,2007,5.184,W
04710405,2008,5.983,W
04710405,2009,6.33,P
04710405,2010,5.962,W
04710405,2011,6.203,W
04710405,2012,6.153,W
04710405,2013,6.121,W
06180505,2006,7.231,P
06180505,2007,7.373,P
06180505,2008,7.981,P
06180505,2009,8.155,A
06180505,2010,7.948,P
